cfips,linear,multinomial,holt,last
2016,0.0,0.9,0.0,0.1
2020,0.0,0.8181818181818181,0.0,0.18181818181818182
2050,0.0,1.0,0.0,0.0
2060,0.23529411764705882,0.0,0.2941176470588235,0.47058823529411764
2068,0.09090909090909091,0.9090909090909091,0.0,0.0
2070,0.0,0.5,0.0,0.5
2090,0.0,1.0,0.0,0.0
2100,0.058823529411764705,0.47058823529411764,0.0,0.47058823529411764
2105,0.0,1.0,0.0,0.0
2110,0.07692307692307693,0.6923076923076923,0.0,0.23076923076923078
2122,0.09090909090909091,0.9090909090909091,0.0,0.0
2130,0.0,0.35714285714285715,0.6428571428571429,0.0
2150,0.0,1.0,0.0,0.0
2164,0.0,0.8181818181818181,0.0,0.18181818181818182
2170,0.0,1.0,0.0,0.0
2180,0.0,1.0,0.0,0.0
2185,0.0,0.9090909090909091,0.0,0.09090909090909091
2188,0.11111111111111112,0.7777777777777778,0.0,0.11111111111111112
2195,0.0,0.5555555555555556,0.0,0.4444444444444445
2198,0.22222222222222224,0.6666666666666667,0.11111111111111112,0.0
2220,0.0,0.5,0.5,0.0
2230,0.09090909090909091,0.7272727272727273,0.18181818181818182,0.0
2240,0.0,1.0,0.0,0.0
2275,0.0,1.0,0.0,0.0
2282,0.0,0.0,0.0,1.0
2290,0.0,1.0,0.0,0.0
4001,0.0,0.8,0.2,0.0
4003,0.0,0.5833333333333333,0.0,0.41666666666666663
4005,0.16666666666666666,0.7499999999999999,0.0,0.08333333333333333
4007,0.125,0.7500000000000001,0.0,0.125
4009,0.15789473684210528,0.31578947368421056,0.5263157894736842,0.0
4011,0.09090909090909091,0.9090909090909091,0.0,0.0
4012,0.0,1.0,0.0,0.0
4013,0.0,0.5,0.5,0.0
4015,0.0,0.7499999999999999,0.25,0.0
4017,0.1,0.9,0.0,0.0
4019,0.0,1.0,0.0,0.0
4021,0.0,1.0,0.0,0.0
4023,0.0,1.0,0.0,0.0
4025,0.11111111111111112,0.888888888888889,0.0,0.0
4027,0.0,0.7000000000000001,0.0,0.30000000000000004
5001,0.0,0.7777777777777778,0.0,0.2222222222222222
5003,0.18181818181818182,0.8181818181818181,0.0,0.0
5005,0.0,0.7500000000000001,0.25,0.0
5007,0.0,0.9090909090909091,0.09090909090909091,0.0
5009,0.09090909090909091,0.9090909090909091,0.0,0.0
5011,0.0,1.0,0.0,0.0
5013,0.0,0.5384615384615384,0.15384615384615383,0.30769230769230765
5015,0.0,0.588235294117647,0.0,0.4117647058823529
5017,0.125,0.875,0.0,0.0
5019,0.125,0.875,0.0,0.0
5021,0.1,0.7000000000000001,0.0,0.2
5023,0.0,1.0,0.0,0.0
5025,0.0,1.0,0.0,0.0
5027,0.18181818181818182,0.8181818181818181,0.0,0.0
5029,0.0,1.0,0.0,0.0
5031,0.0,1.0,0.0,0.0
5033,0.18750000000000003,0.5625,0.25,0.0
5035,0.23076923076923078,0.5384615384615385,0.0,0.23076923076923078
5037,0.0,0.8333333333333334,0.0,0.16666666666666669
5039,0.625,0.37500000000000006,0.0,0.0
5041,0.0,1.0,0.0,0.0
5043,0.09090909090909091,0.9090909090909091,0.0,0.0
5045,0.0,0.8181818181818181,0.18181818181818182,0.0
5047,0.0,0.6153846153846154,0.0,0.3846153846153846
5049,0.1,0.7000000000000001,0.1,0.1
5051,0.0,0.6923076923076923,0.3076923076923077,0.0
5053,0.2857142857142857,0.5,0.0,0.2142857142857143
5055,0.09090909090909091,0.27272727272727276,0.6363636363636364,0.0
5057,0.09090909090909091,0.9090909090909091,0.0,0.0
5059,0.0,1.0,0.0,0.0
5061,0.09090909090909091,0.9090909090909091,0.0,0.0
5063,0.09090909090909091,0.9090909090909091,0.0,0.0
5065,0.07692307692307693,0.23076923076923078,0.0,0.6923076923076923
5067,0.0,0.8571428571428572,0.14285714285714285,0.0
5069,0.625,0.37500000000000006,0.0,0.0
5071,0.09090909090909091,0.9090909090909091,0.0,0.0
5073,0.0,1.0,0.0,0.0
5075,0.0,1.0,0.0,0.0
5077,0.0,1.0,0.0,0.0
5079,0.0,0.9090909090909091,0.0,0.09090909090909091
5081,0.0,1.0,0.0,0.0
5083,0.0,1.0,0.0,0.0
5085,0.0,1.0,0.0,0.0
5087,0.0,1.0,0.0,0.0
5089,0.0,0.2,0.0,0.8
5091,0.0,0.6923076923076923,0.0,0.3076923076923077
5093,0.0,0.7777777777777778,0.2222222222222222,0.0
5095,0.0,0.8181818181818181,0.09090909090909091,0.09090909090909091
5097,0.0,0.5555555555555556,0.0,0.4444444444444445
5099,0.0,1.0,0.0,0.0
5101,0.0,0.9090909090909091,0.0,0.09090909090909091
5103,0.0,0.5333333333333333,0.4,0.06666666666666667
5105,0.0,1.0,0.0,0.0
5107,0.0,1.0,0.0,0.0
5109,0.0,0.6666666666666666,0.3333333333333333,0.0
5111,0.0,1.0,0.0,0.0
5113,0.16666666666666666,0.7499999999999999,0.0,0.08333333333333333
5115,0.0,0.9090909090909091,0.0,0.09090909090909091
5117,0.0,0.3846153846153846,0.6153846153846154,0.0
5119,0.0,1.0,0.0,0.0
5121,0.0,0.9090909090909091,0.0,0.09090909090909091
5123,0.09090909090909091,0.9090909090909091,0.0,0.0
5125,0.11111111111111112,0.7777777777777778,0.11111111111111112,0.0
5127,0.0,0.45,0.05,0.5
5129,0.0,1.0,0.0,0.0
5131,0.09090909090909091,0.9090909090909091,0.0,0.0
5133,0.0,0.9090909090909091,0.09090909090909091,0.0
5135,0.0,1.0,0.0,0.0
5137,0.0,1.0,0.0,0.0
5139,0.0,1.0,0.0,0.0
5141,0.0,0.09090909090909091,0.0,0.9090909090909091
5143,0.0,0.9090909090909091,0.0,0.09090909090909091
5145,0.07692307692307693,0.6923076923076923,0.23076923076923078,0.0
5147,0.0,1.0,0.0,0.0
5149,0.14285714285714285,0.6428571428571428,0.2142857142857143,0.0
6001,0.0,0.4,0.6000000000000001,0.0
6003,0.2777777777777778,0.4444444444444445,0.0,0.2777777777777778
6005,0.0,0.9090909090909091,0.0,0.09090909090909091
6007,0.0,0.7777777777777778,0.0,0.2222222222222222
6009,0.0,0.5384615384615384,0.0,0.4615384615384615
6011,0.11111111111111112,0.888888888888889,0.0,0.0
6013,0.0,0.4444444444444445,0.5555555555555556,0.0
6015,0.0,0.5714285714285714,0.0,0.4285714285714286
6017,0.1,0.8,0.0,0.1
6019,0.0,0.8181818181818181,0.18181818181818182,0.0
6021,0.0,1.0,0.0,0.0
6023,0.0,1.0,0.0,0.0
6025,0.0,1.0,0.0,0.0
6027,0.125,0.875,0.0,0.0
6029,0.0,0.888888888888889,0.11111111111111112,0.0
6031,0.07692307692307693,0.6923076923076923,0.0,0.23076923076923078
6033,0.31578947368421056,0.5263157894736842,0.0,0.15789473684210528
6035,0.0,0.7499999999999999,0.25,0.0
6037,0.0,0.37500000000000006,0.0,0.625
6039,0.10526315789473684,0.5263157894736842,0.05263157894736842,0.31578947368421056
6041,0.1,0.7000000000000001,0.0,0.2
6043,0.0,0.3076923076923077,0.0,0.6923076923076923
6045,0.0,1.0,0.0,0.0
6047,0.0,0.9090909090909091,0.0,0.09090909090909091
6049,0.0,1.0,0.0,0.0
6051,0.0,0.18181818181818182,0.8181818181818181,0.0
6053,0.14285714285714288,0.38095238095238093,0.38095238095238093,0.09523809523809523
6055,0.18181818181818182,0.7272727272727273,0.09090909090909091,0.0
6057,0.0,1.0,0.0,0.0
6059,0.0,0.7500000000000001,0.0,0.25
6061,0.08333333333333333,0.8333333333333333,0.0,0.08333333333333333
6063,0.23076923076923078,0.7692307692307692,0.0,0.0
6065,0.07692307692307693,0.7692307692307692,0.0,0.15384615384615385
6067,0.08333333333333333,0.8333333333333333,0.08333333333333333,0.0
6069,0.0,1.0,0.0,0.0
6071,0.0,0.8181818181818181,0.0,0.18181818181818182
6073,0.08333333333333333,0.8333333333333333,0.08333333333333333,0.0
6075,0.0,1.0,0.0,0.0
6077,0.0,1.0,0.0,0.0
6079,0.09090909090909091,0.6363636363636364,0.18181818181818182,0.09090909090909091
6081,0.07692307692307693,0.7692307692307692,0.0,0.15384615384615385
6083,0.0,0.9090909090909091,0.0,0.09090909090909091
